City_ID,City,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,yueyang,29.3333,113.0919,90.07,39,17,5.23,CN,1662865763
259,itarema,-2.9248,-39.9167,77.0,82,2,13.0,BR,1662865688
260,chokurdakh,70.6333,147.9167,42.53,75,100,9.42,RU,1662865768
261,margate,51.3813,1.3862,60.91,81,6,4.56,GB,1662865770
262,villa maria,-32.4075,-63.2402,42.82,52,0,8.66,AR,1662865775
263,santa maria,-29.6842,-53.8069,43.86,83,0,4.25,BR,1662865779
264,henties bay,-22.116,14.2845,54.07,96,16,2.39,NA,1662865784
265,takoradi,4.8845,-1.7554,72.75,93,91,7.07,GH,1662865786
266,bengkulu,-3.8004,102.2655,82.58,65,88,1.66,ID,1662865788
267,lianzhou,24.7811,112.3825,85.91,52,94,2.15,CN,1662865791
268,kinkala,-4.3614,14.7644,70.02,87,8,6.02,CG,1662865793
269,bilibino,68.0546,166.4372,54.43,42,73,2.33,RU,1662865797
270,nacala,-14.5428,40.6728,66.42,94,2,4.18,MZ,1662865800
271,dong xoai,11.5333,106.9167,85.98,68,44,0.87,VN,1662865806
272,stromness,58.965,-3.296,52.88,92,69,8.01,GB,1662865809
273,vostok,46.4856,135.8833,74.59,42,99,2.73,RU,1662865811
274,avera,33.194,-82.5271,74.55,91,100,3.31,US,1662865813
275,buala,-8.145,159.5921,85.48,59,15,8.52,SB,1662865816
276,devrek,41.2192,31.9558,67.71,51,0,5.12,TR,1662865818
277,rantepao,-2.9701,119.8978,81.03,60,74,4.7,ID,1662865821
278,alseseca,20.2314,-98.0444,59.94,95,88,2.75,MX,1662865823
279,tuatapere,-46.1333,167.6833,57.54,50,0,1.77,NZ,1662865825
280,mahanoro,-19.9,48.8,63.01,90,2,3.58,MG,1662865828
281,lantawan,10.6167,123.9833,85.62,63,12,3.0,PH,1662865830
282,rio gallegos,-51.6226,-69.2181,37.45,87,0,6.91,AR,1662865832
283,mananjary,-21.2167,48.3333,63.34,93,16,3.22,MG,1662865835
284,the valley,18.217,-63.0578,84.06,75,17,13.65,AI,1662865837
285,saint-francois,46.4154,3.9054,49.44,93,10,1.14,FR,1662865777
286,redlands,34.0556,-117.1825,78.33,76,100,5.75,US,1662865816
287,kavaratti,10.5669,72.642,80.55,83,100,20.11,IN,1662865846
288,canberra,-35.2835,149.1281,59.68,47,0,20.71,AU,1662865613
289,chicama,-7.8447,-79.1469,59.54,81,42,7.02,PE,1662865850
290,padang,-0.9492,100.3543,86.05,67,62,3.27,ID,1662865852
291,keti bandar,24.1447,67.4497,84.13,77,100,10.92,PK,1662865855
292,baykit,61.67,96.37,46.83,86,95,4.52,RU,1662865857
293,liaqatabad,31.5647,74.3029,84.24,79,0,5.75,PK,1662865859
294,conceicao do araguaia,-8.2578,-49.2647,78.67,29,0,1.48,BR,1662865862
295,boca do acre,-8.7522,-67.3978,76.44,80,100,2.64,BR,1662865864
296,ishurdi,24.1333,89.0833,79.72,86,100,12.37,BD,1662865866
297,livingston,55.9029,-3.5226,55.11,85,75,5.75,GB,1662865869
298,ducheng,23.2373,111.5317,80.56,82,100,4.5,CN,1662865871
299,kharp,66.8014,65.8081,40.24,90,100,4.21,RU,1662865874
300,praia da vitoria,38.7333,-27.0667,71.76,84,99,18.97,PT,1662865876
301,thurso,58.5927,-3.5259,53.85,91,68,7.2,GB,1662865878
302,victoria,22.2855,114.1577,90.25,71,6,5.99,HK,1662865683
303,san patricio,28.017,-97.5169,84.09,62,51,9.01,US,1662865883
304,tibacuy,4.3511,-72.4564,68.74,90,42,3.06,CO,1662865885
305,jijiga,9.35,42.8,62.94,79,100,10.25,ET,1662865888
306,teguldet,57.3064,88.1667,51.35,76,60,1.54,RU,1662865890
307,kalemie,-5.9475,29.1947,70.27,70,18,5.84,CD,1662865892
308,sembe,1.6481,14.5806,68.31,99,98,2.8,CG,1662865895
309,saint-joseph,-21.3667,55.6167,66.58,68,1,3.91,RE,1662865897
310,mbini,1.574,9.6134,74.53,88,87,4.56,GQ,1662865899
311,andenes,69.3143,16.1194,46.92,100,100,6.91,NO,1662865902
312,san luis,-33.295,-66.3356,52.03,25,0,8.97,AR,1662865906
313,butte,39.6499,-121.5677,82.98,34,0,12.66,US,1662865908
314,ust-nera,64.5667,143.2,42.06,70,99,5.7,RU,1662865911
315,riohacha,11.5444,-72.9072,83.57,74,37,14.61,CO,1662865851
316,cordoba,-31.4135,-64.1811,57.76,37,0,9.22,AR,1662865915
317,trapani,37.8333,12.6667,76.28,78,0,4.61,IT,1662865917
318,beringovskiy,63.05,179.3167,46.08,85,100,18.75,RU,1662865920
319,buzuluk,52.7807,52.2635,42.75,82,20,5.03,RU,1662865922
320,labuhan,-6.8844,112.2051,85.28,62,100,2.82,ID,1662865927
321,shimoda,34.6667,138.95,79.11,66,14,19.04,JP,1662865929
322,balvi,57.1313,27.2658,39.13,78,78,6.4,LV,1662865931
323,khasan,42.4308,130.6434,69.21,77,47,6.15,RU,1662865933
324,springdale,36.1867,-94.1288,71.73,82,0,0.0,US,1662865777
325,mbutuy,-24.9667,-56.3,54.07,44,2,4.25,PY,1662865938
326,lulea,65.5842,22.1547,39.27,100,100,3.44,SE,1662865941
327,puri,19.8,85.85,79.32,87,100,20.24,IN,1662865943
328,laguna,38.421,-121.4238,79.45,52,0,9.22,US,1662865945
329,grindavik,63.8424,-22.4338,46.87,93,20,18.41,IS,1662865947
330,oistins,13.0667,-59.5333,82.49,78,20,11.5,BB,1662865769
331,sidi ali,36.0998,0.4206,72.57,80,52,1.86,DZ,1662865952
332,amuntai,-2.4177,115.2494,88.99,59,83,1.19,ID,1662865954
333,kandrian,-6.2167,149.55,85.23,67,87,10.89,PG,1662865958
334,necochea,-38.5473,-58.7368,42.76,68,0,8.57,AR,1662865961
335,maralal,1.0968,36.698,56.95,80,5,2.55,KE,1662865963
336,coracora,-15.0333,-73.7833,46.02,35,3,3.83,PE,1662865965
337,cerrito,6.8432,-72.694,52.61,89,86,4.29,CO,1662865968
338,ximei,24.9639,118.3794,88.36,53,6,2.35,CN,1662865970
339,vanavara,60.34,102.2797,50.77,64,100,10.76,RU,1662865974
340,loubomo,-4.1997,12.6739,71.2,84,75,3.13,CG,1662865977
341,octeville,49.6261,-1.6435,55.89,94,34,3.44,FR,1662865979
342,alyangula,-13.8483,136.4192,82.45,66,76,10.6,AU,1662865981
343,borovoy,55.4333,86.0833,53.69,66,0,6.71,RU,1662865983
344,port hedland,-20.3167,118.5667,86.05,26,0,12.66,AU,1662865986
345,mahon,39.8885,4.2658,75.76,88,20,2.3,ES,1662865988
346,alexandria,31.2156,29.9553,77.79,63,0,8.5,EG,1662865922
347,oyama,36.3,139.8,82.58,52,82,5.32,JP,1662865993
348,tezu,27.9167,96.1667,86.02,56,7,3.11,IN,1662865995
349,richards bay,-28.783,32.0377,70.27,79,81,14.61,ZA,1662865997
350,vila velha,-20.3297,-40.2925,73.35,75,0,14.97,BR,1662866000
351,cabo san lucas,22.8909,-109.9124,81.52,82,43,4.0,MX,1662866002
352,candido mendes,-1.4467,-45.7167,74.07,92,1,3.09,BR,1662866004
353,sao joao da barra,-21.6403,-41.0511,71.17,83,8,15.99,BR,1662866006
354,ashland,40.8167,-82.2665,69.12,87,100,8.97,US,1662866009
355,thompson,55.7435,-97.8558,51.96,66,40,4.61,CA,1662866011
356,solenzo,12.1833,-4.0833,73.24,95,90,5.37,BF,1662865870
357,birao,10.2849,22.7882,69.98,99,46,4.25,CF,1662866017
358,te anau,-45.4167,167.7167,54.93,56,26,0.72,NZ,1662866020
359,luanda,-8.8368,13.2343,68.0,94,75,3.44,AO,1662866022
360,tromso,69.6496,18.957,48.22,87,100,3.44,NO,1662865999
361,meulaboh,4.1363,96.1285,83.17,65,56,2.04,ID,1662866026
362,cayenne,4.9333,-52.3333,78.84,94,0,0.0,GF,1662866029
363,tual,-5.6667,132.75,80.55,80,98,12.93,ID,1662866031
364,pescara,42.3333,13.95,69.08,70,6,6.02,IT,1662866033
365,usinsk,65.9939,57.5281,41.92,96,100,11.07,RU,1662866038
366,jiaonan,35.8786,119.9753,76.5,65,69,6.35,CN,1662866040
